|"cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies"
10|"10143561|2020-07-18|Masculino|1969-10-23|gato|frio|Chá|Escrever"
0|"10141814|2020-07-23|Feminino|1969-09-26|tartaruga|quente|refrigerante|Aprender algo novo"
1|"10142342|2020-07-23|Masculino|1950-02-28|tartaruga|moderado|refrigerante|Escutar música"
2|"10142862|2020-07-23|Masculino|1957-05-01|cachorro|moderado|Chá|Ler livros"
3|"10143329|2020-07-23|Masculino|1994-04-28|gato|quente|Vinho|Pintar quadros"
4|"10143394|2020-07-23|Masculino|1971-04-30|gato|quente|refrigerante|Pintar quadros"
0|"10141774|2020-09-13|Feminino|1977-11-21|gato|frio|Cerveja|Ler livros"
1|"10142130|2020-09-13|Feminino|1995-06-25|gato|moderado|Vinho|Aprender algo novo"
2|"10142422|2020-09-13|Masculino|1993-04-09|cachorro|moderado|Vinho|Escutar música"
3|"10142604|2020-09-13|Feminino|1952-01-28|gato|frio|Chá|Pintar quadros"
4|"10142609|2020-09-13|Feminino|1979-11-02|gato|frio|refrigerante|Assistir TV"
5|"10142744|2020-09-13|Masculino|1982-04-18|cachorro|moderado|Cerveja|Praticar esporte"
6|"10142872|2020-09-13|Masculino|1977-08-14|tartaruga|frio|Chá|Escutar música"
7|"10142917|2020-09-13|Masculino|1954-09-24|peixe|moderado|Vinho|Escrever"
8|"10142950|2020-09-13|Masculino|1979-04-06|cachorro|frio|Vinho|Pintar quadros"
0|"10141522|2020-07-17|Masculino|1972-04-18|peixe|frio|Chá|Dormir"
1|"10141566|2020-07-17|Feminino|1976-11-28|gato|moderado|Vinho|Dormir"
2|"10141627|2020-07-17|Feminino|1987-10-29|peixe|quente|Café|Pintar quadros"
3|"10141670|2020-07-17|Feminino|1975-03-29|peixe|quente|Chá|Escrever"
4|"10141841|2020-07-17|Feminino|1973-02-27|tartaruga|quente|Cerveja|Aprender algo novo"
5|"10141855|2020-07-17|Feminino|1976-05-05|gato|frio|Cerveja|Aprender algo novo"
6|"10141867|2020-07-17|Feminino|1963-07-05|gato|quente|Cerveja|Dormir"
7|"10142146|2020-07-17|Masculino|1991-04-08|peixe|moderado|Cerveja|Dormir"
8|"10142486|2020-07-17|Masculino|1950-10-06|gato|quente|Vinho|Ler livros"
9|"10142905|2020-07-17|Masculino|1983-10-02|gato|quente|Chá|Escutar música"
10|"10142927|2020-07-17|Masculino|1970-05-11|peixe|quente|refrigerante|Escutar música"
11|"10143058|2020-07-17|Masculino|1960-07-16|peixe|moderado|Água|Escrever"
12|"10143102|2020-07-17|Masculino|1984-06-29|cachorro|quente|Café|Aprender algo novo"
0|"10141894|2020-09-15|Feminino|1990-08-11|tartaruga|moderado|Cerveja|Praticar esporte"
1|"10141991|2020-09-15|Feminino|1976-09-22|cachorro|quente|refrigerante|Praticar esporte"
2|"10142085|2020-09-15|Masculino|1959-01-07|gato|frio|Cerveja|Ler livros"
3|"10142389|2020-09-15|Masculino|1995-08-16|gato|quente|Chá|Escutar música"
4|"10142752|2020-09-15|Masculino|1953-03-07|gato|quente|Vinho|Escrever"
5|"10143022|2020-09-15|Masculino|1973-07-23|gato|frio|Café|Assistir TV"
6|"10143117|2020-09-15|Feminino|1990-06-27|tartaruga|frio|Vinho|Pintar quadros"
7|"10143456|2020-09-15|Feminino|1998-08-27|peixe|moderado|refrigerante|Escutar música"
8|"10143544|2020-09-15|Masculino|1963-04-16|peixe|moderado|Água|Praticar esporte"
0|"10142119|2020-12-03|Feminino|1969-08-27|gato|quente|Vinho|Escutar música"
1|"10142614|2020-12-03|Masculino|1953-05-13|peixe|quente|Água|Pintar quadros"
2|"10142907|2020-12-03|Masculino|1971-10-20|gato|frio|Cerveja|Assistir TV"
3|"10143437|2020-12-03|Feminino|1950-01-02|peixe|quente|Café|Escrever"
4|"10143569|2020-12-03|Masculino|1955-06-08|gato|moderado|Vinho|Escrever"
0|"10142403|2020-11-10|Masculino|1989-06-02|peixe|moderado|Chá|Ler livros"
1|"10142577|2020-11-10|Masculino|1971-10-06|gato|moderado|Água|Ler livros"
2|"10142814|2020-11-10|Masculino|1998-08-10|peixe|quente|Vinho|Aprender algo novo"
3|"10142884|2020-11-10|Masculino|1958-12-01|peixe|quente|refrigerante|Assistir TV"
4|"10143150|2020-11-10|Masculino|1982-01-04|cachorro|frio|Cerveja|Pintar quadros"
5|"10143483|2020-11-10|Masculino|1972-11-24|gato|quente|Vinho|Escrever"
0|"10142529|2020-09-16|Masculino|1986-07-04|peixe|frio|Água|Dormir"
1|"10142799|2020-09-16|Masculino|1967-03-21|gato|quente|Café|Dormir"
2|"10143015|2020-09-16|Masculino|1984-06-13|gato|frio|Vinho|Praticar esporte"
3|"10143447|2020-09-16|Feminino|1963-09-11|peixe|quente|Cerveja|Aprender algo novo"
4|"10143495|2020-09-16|Masculino|1976-10-01|gato|quente|Vinho|Ler livros"
0|"10142138|2020-05-14|Feminino|1950-02-05|gato|moderado|Chá|Escutar música"
1|"10142168|2020-05-14|Masculino|1993-07-20|tartaruga|quente|Chá|Escutar música"
2|"10142337|2020-05-14|Masculino|1969-01-22|cachorro|moderado|Água|Dormir"
3|"10142370|2020-05-14|Masculino|1981-01-22|gato|moderado|Chá|Assistir TV"
4|"10142415|2020-05-14|Masculino|1987-06-30|gato|quente|refrigerante|Dormir"
5|"10142659|2020-05-14|Masculino|1979-12-08|gato|moderado|Café|Assistir TV"
6|"10143224|2020-05-14|Masculino|1978-02-01|peixe|frio|Café|Escutar música"
7|"10143375|2020-05-14|Feminino|1956-06-27|cachorro|quente|Cerveja|Dormir"
0|"10141725|2020-10-23|Feminino|1986-11-18|peixe|moderado|Café|Aprender algo novo"
1|"10141731|2020-10-23|Feminino|1995-09-11|peixe|moderado|Chá|Escutar música"
2|"10141800|2020-10-23|Feminino|1951-06-06|gato|frio|Café|Escutar música"
3|"10141852|2020-10-23|Feminino|1950-07-04|gato|quente|Cerveja|Pintar quadros"
4|"10142045|2020-10-23|Feminino|1959-06-02|peixe|quente|Cerveja|Dormir"
5|"10142147|2020-10-23|Masculino|1956-04-16|gato|quente|Chá|Dormir"
6|"10142244|2020-10-23|Masculino|1972-04-03|gato|frio|Café|Dormir"
7|"10142331|2020-10-23|Masculino|1990-08-16|gato|frio|refrigerante|Dormir"
8|"10143042|2020-10-23|Masculino|1973-07-28|peixe|moderado|Vinho|Aprender algo novo"
9|"10143215|2020-10-23|Masculino|1966-10-01|gato|frio|Café|Escrever"
0|"10142561|2020-05-11|Masculino|1992-01-12|peixe|quente|Chá|Pintar quadros"
1|"10142954|2020-05-11|Masculino|1999-05-17|gato|frio|Chá|Praticar esporte"
2|"10143177|2020-05-11|Masculino|1972-11-18|cachorro|moderado|Chá|Pintar quadros"
3|"10143525|2020-05-11|Feminino|1969-03-19|tartaruga|frio|Café|Aprender algo novo"
0|"10141570|2020-01-04|Feminino|1953-11-09|tartaruga|quente|Cerveja|Aprender algo novo"
1|"10141851|2020-01-04|Feminino|1977-10-24|gato|moderado|Café|Ler livros"
2|"10141938|2020-01-04|Feminino|1957-03-05|gato|moderado|Café|Escrever"
3|"10142733|2020-01-04|Masculino|1978-01-12|tartaruga|quente|Cerveja|Pintar quadros"
4|"10142851|2020-01-04|Masculino|1982-12-22|gato|frio|refrigerante|Dormir"
5|"10142941|2020-01-04|Masculino|1966-04-19|gato|quente|Vinho|Praticar esporte"
6|"10143484|2020-01-04|Masculino|1976-05-31|gato|moderado|Café|Dormir"
0|"10141892|2020-06-30|Masculino|1965-07-13|tartaruga|frio|Cerveja|Pintar quadros"
1|"10142729|2020-06-30|Masculino|1991-10-13|tartaruga|frio|Vinho|Dormir"
2|"10143132|2020-06-30|Feminino|1987-07-10|gato|frio|Chá|Ler livros"
3|"10143278|2020-06-30|Feminino|1952-07-26|gato|frio|Água|Praticar esporte"
4|"10143489|2020-06-30|Masculino|1962-09-15|gato|quente|Chá|Assistir TV"
0|"10141770|2020-05-02|Feminino|1977-04-20|cachorro|frio|Café|Escutar música"
1|"10142092|2020-05-02|Masculino|1989-07-19|gato|quente|Café|Ler livros"
2|"10142600|2020-05-02|Masculino|1973-08-30|gato|moderado|Água|Praticar esporte"
0|"10141681|2020-02-22|Masculino|1954-07-07|tartaruga|frio|Vinho|Escutar música"
1|"10142581|2020-02-22|Masculino|1966-04-23|gato|quente|Água|Aprender algo novo"
2|"10142736|2020-02-22|Masculino|1999-04-19|gato|frio|Café|Pintar quadros"
3|"10142839|2020-02-22|Masculino|1987-02-08|gato|moderado|Café|Praticar esporte"
4|"10143027|2020-02-22|Masculino|1986-08-23|peixe|quente|refrigerante|Ler livros"
5|"10143048|2020-02-22|Masculino|1977-07-05|cachorro|moderado|Café|Ler livros"
0|"10141822|2020-01-14|Feminino|1952-09-11|gato|quente|Vinho|Escutar música"
1|"10142560|2020-01-14|Masculino|1983-06-25|peixe|frio|Cerveja|Ler livros"
2|"10142562|2020-01-14|Masculino|1963-03-06|gato|quente|Água|Dormir"
3|"10142773|2020-01-14|Masculino|1960-09-15|gato|quente|Café|Escutar música"
4|"10142931|2020-01-14|Masculino|1967-07-27|tartaruga|frio|Vinho|Dormir"
5|"10143028|2020-01-14|Masculino|1997-05-28|gato|frio|Café|Praticar esporte"
6|"10143140|2020-01-14|Feminino|1997-01-16|gato|frio|Água|Assistir TV"
7|"10143199|2020-01-14|Masculino|1983-03-26|gato|quente|refrigerante|Dormir"
0|"10141513|2020-07-22|Masculino|1957-08-09|peixe|moderado|Água|Pintar quadros"
1|"10141579|2020-07-22|Feminino|1998-11-28|cachorro|quente|Vinho|Escrever"
2|"10141801|2020-07-22|Feminino|1968-10-15|cachorro|quente|Cerveja|Praticar esporte"
3|"10141940|2020-07-22|Feminino|1998-10-13|peixe|quente|refrigerante|Ler livros"
4|"10143108|2020-07-22|Masculino|1953-04-13|cachorro|frio|Café|Escrever"
5|"10143247|2020-07-22|Masculino|1993-04-18|cachorro|quente|Café|Ler livros"
6|"10143539|2020-07-22|Masculino|1998-02-23|tartaruga|frio|Café|Escutar música"
0|"10141672|2020-12-11|Feminino|1951-01-20|cachorro|moderado|Cerveja|Dormir"
1|"10142294|2020-12-11|Masculino|1982-12-01|tartaruga|frio|Chá|Aprender algo novo"
2|"10142630|2020-12-11|Feminino|1988-10-21|cachorro|frio|Cerveja|Escutar música"
3|"10142997|2020-12-11|Masculino|1961-09-18|peixe|moderado|Café|Aprender algo novo"
0|"10141843|2020-07-10|Masculino|1957-02-14|peixe|frio|refrigerante|Dormir"
1|"10141864|2020-07-10|Feminino|1994-07-11|gato|quente|refrigerante|Pintar quadros"
2|"10142477|2020-07-10|Masculino|1992-11-02|cachorro|frio|refrigerante|Aprender algo novo"
3|"10142656|2020-07-10|Feminino|1980-12-19|gato|frio|Água|Pintar quadros"
4|"10142978|2020-07-10|Masculino|1981-03-05|gato|moderado|Café|Escutar música"
5|"10143229|2020-07-10|Masculino|1960-11-12|cachorro|quente|Vinho|Ler livros"
6|"10143466|2020-07-10|Feminino|1970-09-19|gato|moderado|refrigerante|Escutar música"
7|"10143589|2020-07-10|Feminino|1963-03-25|cachorro|frio|Café|Escutar música"
0|"10141878|2020-05-01|Feminino|1975-06-08|cachorro|quente|Cerveja|Assistir TV"
1|"10141958|2020-05-01|Feminino|1984-11-25|tartaruga|moderado|Cerveja|Ler livros"
2|"10142427|2020-05-01|Masculino|1989-05-12|gato|frio|Água|Escrever"
0|"10141911|2020-09-01|Feminino|1982-08-02|gato|frio|Cerveja|Escutar música"
1|"10142082|2020-09-01|Masculino|1985-06-08|peixe|frio|Chá|Escrever"
2|"10142425|2020-09-01|Masculino|1976-12-05|gato|quente|Cerveja|Escrever"
3|"10142615|2020-09-01|Masculino|1987-08-19|gato|quente|Vinho|Pintar quadros"
4|"10142678|2020-09-01|Masculino|1971-09-10|gato|moderado|Café|Dormir"
5|"10142951|2020-09-01|Masculino|1954-04-27|cachorro|moderado|Vinho|Dormir"
6|"10143501|2020-09-01|Feminino|1980-12-20|gato|frio|Café|Assistir TV"
0|"10142392|2020-05-21|Masculino|1971-07-29|peixe|moderado|Chá|Aprender algo novo"
1|"10142650|2020-05-21|Feminino|1954-07-26|tartaruga|frio|refrigerante|Dormir"
2|"10142706|2020-05-21|Masculino|1980-12-19|gato|frio|Vinho|Praticar esporte"
3|"10142850|2020-05-21|Masculino|1981-03-05|peixe|frio|Chá|Dormir"
4|"10142947|2020-05-21|Masculino|1953-04-27|gato|frio|Cerveja|Praticar esporte"
5|"10143536|2020-05-21|Masculino|1966-02-24|cachorro|quente|Café|Dormir"
0|"10141612|2020-04-17|Feminino|1997-09-05|peixe|quente|Chá|Dormir"
1|"10141844|2020-04-17|Masculino|1955-11-08|cachorro|quente|Café|Praticar esporte"
2|"10142214|2020-04-17|Masculino|1974-02-21|peixe|moderado|Cerveja|Escutar música"
3|"10142439|2020-04-17|Masculino|1970-05-17|peixe|frio|refrigerante|Escrever"
4|"10142479|2020-04-17|Masculino|1966-09-04|gato|quente|Café|Aprender algo novo"
5|"10142608|2020-04-17|Feminino|1995-11-21|gato|frio|Chá|Escutar música"
6|"10143006|2020-04-17|Masculino|1991-06-15|gato|moderado|Água|Escutar música"
7|"10143125|2020-04-17|Feminino|1995-10-06|gato|frio|Café|Pintar quadros"
8|"10143186|2020-04-17|Masculino|1972-12-17|cachorro|moderado|Café|Ler livros"
9|"10143545|2020-04-17|Masculino|1956-09-23|gato|moderado|refrigerante|Aprender algo novo"
0|"10142108|2020-05-15|Masculino|1954-09-05|gato|quente|refrigerante|Escrever"
1|"10142332|2020-05-15|Masculino|1998-06-23|peixe|moderado|Vinho|Pintar quadros"
2|"10142696|2020-05-15|Masculino|1994-06-06|gato|quente|refrigerante|Pintar quadros"
3|"10142810|2020-05-15|Masculino|1960-06-22|gato|moderado|Cerveja|Assistir TV"
4|"10143011|2020-05-15|Masculino|1982-06-17|cachorro|moderado|Vinho|Praticar esporte"
5|"10143203|2020-05-15|Masculino|1951-02-04|cachorro|moderado|Café|Assistir TV"
0|"10141595|2020-06-21|Feminino|1969-02-24|gato|quente|Chá|Ler livros"
1|"10142574|2020-06-21|Masculino|1999-05-03|gato|frio|Café|Assistir TV"
2|"10142679|2020-06-21|Masculino|1966-03-25|gato|moderado|Chá|Escrever"
3|"10142945|2020-06-21|Masculino|1951-05-15|gato|quente|Vinho|Aprender algo novo"
4|"10143020|2020-06-21|Masculino|1984-06-03|gato|quente|Chá|Escrever"
5|"10143069|2020-06-21|Masculino|1965-04-23|gato|frio|Chá|Ler livros"
6|"10143107|2020-06-21|Masculino|1952-08-01|gato|quente|Cerveja|Dormir"
7|"10143393|2020-06-21|Masculino|1996-08-09|peixe|frio|Café|Dormir"
0|"10141943|2020-07-12|Feminino|1966-01-27|gato|moderado|Água|Aprender algo novo"
1|"10142584|2020-07-12|Masculino|1985-12-24|gato|moderado|refrigerante|Ler livros"
2|"10142721|2020-07-12|Masculino|1959-02-01|gato|quente|Cerveja|Assistir TV"
3|"10142873|2020-07-12|Masculino|1982-03-25|cachorro|quente|Café|Dormir"
4|"10142962|2020-07-12|Masculino|1954-04-29|tartaruga|quente|refrigerante|Dormir"
5|"10143032|2020-07-12|Masculino|1988-07-01|peixe|moderado|Chá|Assistir TV"
6|"10143327|2020-07-12|Masculino|1976-11-18|peixe|moderado|refrigerante|Escrever"
7|"10143422|2020-07-12|Feminino|1958-09-03|cachorro|moderado|Cerveja|Ler livros"
0|"10142618|2020-07-21|Masculino|1997-09-05|cachorro|moderado|Água|Escutar música"
1|"10143004|2020-07-21|Masculino|1985-07-08|gato|frio|Vinho|Praticar esporte"
0|"10141698|2020-11-30|Masculino|1959-04-25|tartaruga|frio|refrigerante|Escutar música"
1|"10141839|2020-11-30|Feminino|1994-04-20|gato|frio|refrigerante|Aprender algo novo"
2|"10142210|2020-11-30|Masculino|1989-01-21|tartaruga|frio|Vinho|Ler livros"
3|"10143363|2020-11-30|Masculino|1953-12-28|gato|frio|refrigerante|Escrever"
4|"10143532|2020-11-30|Masculino|1997-06-13|gato|moderado|Água|Escutar música"
0|"10142303|2020-07-13|Masculino|1996-11-17|tartaruga|moderado|Cerveja|Dormir"
1|"10142453|2020-07-13|Masculino|1981-03-22|tartaruga|moderado|Água|Assistir TV"
2|"10142825|2020-07-13|Masculino|1989-04-30|peixe|frio|Cerveja|Escutar música"
3|"10143018|2020-07-13|Masculino|1987-03-09|gato|moderado|Chá|Dormir"
4|"10143198|2020-07-13|Masculino|1977-12-30|peixe|quente|Café|Dormir"
5|"10143418|2020-07-13|Feminino|1995-10-30|tartaruga|quente|Água|Escutar música"
6|"10143488|2020-07-13|Masculino|1974-05-01|peixe|moderado|Cerveja|Dormir"
0|"10141830|2020-03-05|Masculino|1952-12-23|cachorro|frio|refrigerante|Praticar esporte"
1|"10142766|2020-03-05|Masculino|1974-04-06|tartaruga|frio|Chá|Pintar quadros"
0|"10141635|2020-04-25|Feminino|1985-08-08|cachorro|quente|Cerveja|Pintar quadros"
1|"10142131|2020-04-25|Masculino|1990-07-03|gato|quente|Cerveja|Aprender algo novo"
2|"10143603|2020-04-25|Masculino|1964-06-02|cachorro|quente|Café|Escrever"
0|"10142118|2020-08-18|Feminino|1954-03-14|tartaruga|moderado|Cerveja|Escutar música"
1|"10142724|2020-08-18|Masculino|1968-10-13|cachorro|frio|Vinho|Aprender algo novo"
2|"10142803|2020-08-18|Masculino|1956-04-21|gato|quente|Vinho|Ler livros"
3|"10142834|2020-08-18|Masculino|1998-12-11|gato|quente|Vinho|Pintar quadros"
4|"10143214|2020-08-18|Masculino|1989-06-13|gato|moderado|refrigerante|Escrever"
5|"10143588|2020-08-18|Feminino|1966-03-15|tartaruga|frio|Água|Praticar esporte"
0|"10142382|2020-11-06|Masculino|1971-12-12|tartaruga|quente|Cerveja|Pintar quadros"
1|"10142429|2020-11-06|Masculino|1969-09-18|gato|moderado|Café|Escutar música"
2|"10142447|2020-11-06|Masculino|1998-09-09|gato|quente|refrigerante|Escrever"
3|"10142944|2020-11-06|Masculino|1969-09-29|peixe|quente|Chá|Ler livros"
4|"10142956|2020-11-06|Masculino|1997-08-15|tartaruga|frio|Café|Assistir TV"
5|"10143103|2020-11-06|Masculino|1960-03-15|gato|moderado|Café|Praticar esporte"
6|"10143221|2020-11-06|Masculino|1972-07-21|tartaruga|frio|Água|Escutar música"
7|"10143279|2020-11-06|Feminino|1982-08-20|gato|moderado|Café|Pintar quadros"
8|"10143373|2020-11-06|Feminino|1968-02-17|tartaruga|frio|Café|Assistir TV"
9|"10143581|2020-11-06|Feminino|1969-07-14|gato|moderado|Cerveja|Ler livros"
0|"10141554|2020-02-04|Feminino|1967-05-03|cachorro|frio|Água|Dormir"
1|"10141715|2020-02-04|Feminino|1987-05-08|cachorro|quente|refrigerante|Escutar música"
2|"10141863|2020-02-04|Feminino|1985-02-08|gato|moderado|Água|Ler livros"
3|"10142247|2020-02-04|Masculino|1971-01-23|cachorro|quente|Vinho|Dormir"
4|"10142391|2020-02-04|Masculino|1968-10-05|gato|quente|Chá|Escrever"
5|"10143200|2020-02-04|Masculino|1972-06-13|cachorro|moderado|Vinho|Dormir"
6|"10143250|2020-02-04|Masculino|1962-03-03|gato|frio|refrigerante|Dormir"
0|"10141732|2020-07-02|Feminino|1961-10-05|peixe|frio|Cerveja|Escutar música"
1|"10143220|2020-07-02|Masculino|1992-06-29|peixe|frio|Água|Pintar quadros"
2|"10143506|2020-07-02|Masculino|1960-04-30|tartaruga|frio|Vinho|Assistir TV"
0|"10142512|2020-01-30|Masculino|1979-11-09|gato|moderado|refrigerante|Assistir TV"
1|"10142668|2020-01-30|Masculino|1998-04-27|gato|moderado|refrigerante|Pintar quadros"
2|"10142685|2020-01-30|Masculino|1976-03-21|peixe|frio|Chá|Aprender algo novo"
3|"10143086|2020-01-30|Masculino|1960-05-11|cachorro|frio|refrigerante|Escrever"
4|"10143113|2020-01-30|Masculino|1958-12-13|gato|frio|Água|Ler livros"
5|"10143253|2020-01-30|Masculino|1974-03-21|gato|moderado|refrigerante|Escrever"
0|"10141882|2020-09-23|Feminino|1971-01-22|cachorro|quente|Chá|Dormir"
1|"10142150|2020-09-23|Masculino|1967-05-29|gato|frio|Café|Assistir TV"
2|"10142812|2020-09-23|Masculino|1961-10-11|peixe|moderado|Água|Assistir TV"
3|"10142845|2020-09-23|Masculino|1957-06-10|cachorro|quente|Chá|Assistir TV"
4|"10142912|2020-09-23|Masculino|1960-06-07|tartaruga|frio|refrigerante|Assistir TV"
5|"10142992|2020-09-23|Masculino|1973-09-05|gato|quente|Vinho|Ler livros"
6|"10143007|2020-09-23|Masculino|1951-03-31|cachorro|moderado|Água|Assistir TV"
7|"10143206|2020-09-23|Masculino|1992-07-11|tartaruga|quente|Chá|Aprender algo novo"
8|"10143272|2020-09-23|Masculino|1988-05-21|tartaruga|moderado|Vinho|Pintar quadros"
9|"10143361|2020-09-23|Masculino|1983-09-14|peixe|quente|Cerveja|Escrever"
0|"10141763|2020-12-28|Masculino|1961-10-29|gato|moderado|Água|Praticar esporte"
1|"10142046|2020-12-28|Masculino|1999-03-03|gato|moderado|refrigerante|Escrever"
2|"10142408|2020-12-28|Masculino|1964-12-31|cachorro|frio|refrigerante|Escrever"
3|"10142576|2020-12-28|Masculino|1982-09-24|tartaruga|moderado|Água|Pintar quadros"
4|"10142819|2020-12-28|Masculino|1951-02-19|peixe|moderado|Vinho|Ler livros"
5|"10143087|2020-12-28|Masculino|1962-09-05|gato|quente|Cerveja|Aprender algo novo"
6|"10143464|2020-12-28|Feminino|1960-03-03|tartaruga|frio|Chá|Ler livros"
0|"10141713|2020-03-16|Feminino|1990-09-27|gato|quente|Vinho|Dormir"
1|"10141786|2020-03-16|Feminino|1999-04-21|gato|moderado|Água|Dormir"
0|"10141615|2020-01-18|Feminino|1981-11-25|cachorro|frio|Café|Praticar esporte"
1|"10141659|2020-01-18|Masculino|1956-10-20|gato|frio|Café|Aprender algo novo"
2|"10141677|2020-01-18|Masculino|1982-10-09|cachorro|frio|Chá|Assistir TV"
3|"10141835|2020-01-18|Feminino|1982-01-08|tartaruga|frio|Café|Pintar quadros"
4|"10141926|2020-01-18|Feminino|1990-06-26|peixe|moderado|refrigerante|Dormir"
5|"10141968|2020-01-18|Feminino|1999-10-13|tartaruga|quente|Vinho|Escutar música"
6|"10142317|2020-01-18|Masculino|1954-07-08|cachorro|frio|Café|Escutar música"
7|"10142641|2020-01-18|Feminino|1954-02-23|tartaruga|frio|Água|Pintar quadros"
8|"10143080|2020-01-18|Masculino|1957-07-06|gato|frio|Café|Ler livros"
9|"10143191|2020-01-18|Masculino|1959-02-28|cachorro|quente|Chá|Escutar música"
10|"10143509|2020-01-18|Masculino|1963-04-14|gato|quente|Água|Dormir"
11|"10143590|2020-01-18|Masculino|1956-03-23|tartaruga|moderado|Café|Escrever"
0|"10141669|2020-06-24|Feminino|1964-03-22|gato|frio|Chá|Praticar esporte"
1|"10141960|2020-06-24|Feminino|1976-08-09|gato|frio|refrigerante|Escrever"
2|"10142182|2020-06-24|Masculino|1978-07-19|tartaruga|quente|Café|Assistir TV"
3|"10142248|2020-06-24|Masculino|1954-02-05|cachorro|quente|refrigerante|Pintar quadros"
4|"10142880|2020-06-24|Masculino|1979-03-06|gato|moderado|Cerveja|Escutar música"
5|"10142949|2020-06-24|Masculino|1983-04-18|peixe|moderado|Café|Escrever"
6|"10143243|2020-06-24|Masculino|1998-01-22|gato|frio|Café|Escrever"
7|"10143332|2020-06-24|Feminino|1984-12-26|gato|frio|refrigerante|Praticar esporte"
8|"10143540|2020-06-24|Masculino|1977-06-15|peixe|moderado|Água|Assistir TV"
9|"10143576|2020-06-24|Masculino|1994-01-12|tartaruga|frio|Vinho|Ler livros"
0|"10141622|2020-11-07|Feminino|1991-04-01|peixe|moderado|Café|Pintar quadros"
1|"10141680|2020-11-07|Feminino|1988-01-06|cachorro|quente|Vinho|Aprender algo novo"
2|"10141813|2020-11-07|Feminino|1964-04-06|peixe|moderado|Café|Escutar música"
3|"10142271|2020-11-07|Masculino|1965-05-23|gato|quente|Vinho|Aprender algo novo"
4|"10142409|2020-11-07|Masculino|1953-10-26|tartaruga|quente|Café|Escutar música"
5|"10142558|2020-11-07|Masculino|1952-01-06|cachorro|frio|Chá|Dormir"
6|"10143376|2020-11-07|Feminino|1954-01-08|peixe|quente|Vinho|Dormir"
7|"10143492|2020-11-07|Feminino|1978-10-11|gato|quente|Água|Ler livros"
0|"10141617|2020-12-23|Feminino|1950-06-22|gato|frio|refrigerante|Pintar quadros"
1|"10142393|2020-12-23|Masculino|1970-09-18|peixe|moderado|Cerveja|Escutar música"
2|"10142971|2020-12-23|Masculino|1951-12-26|gato|frio|refrigerante|Escrever"
3|"10143012|2020-12-23|Masculino|1968-05-17|gato|quente|Água|Aprender algo novo"
4|"10143624|2020-12-23|Masculino|1959-04-01|gato|moderado|Chá|Ler livros"
0|"10142272|2020-02-13|Masculino|1979-04-23|tartaruga|quente|Chá|Dormir"
1|"10142698|2020-02-13|Masculino|1973-08-29|peixe|moderado|Água|Dormir"
2|"10142935|2020-02-13|Masculino|1976-07-19|gato|frio|Vinho|Dormir"
3|"10143182|2020-02-13|Masculino|1951-01-19|peixe|frio|Vinho|Dormir"
4|"10143339|2020-02-13|Masculino|1983-12-12|peixe|frio|refrigerante|Pintar quadros"
0|"10141797|2020-06-28|Feminino|1955-05-09|tartaruga|frio|refrigerante|Praticar esporte"
1|"10142066|2020-06-28|Feminino|1978-06-17|gato|moderado|Água|Escutar música"
2|"10142091|2020-06-28|Masculino|1976-07-29|peixe|moderado|Chá|Assistir TV"
3|"10142340|2020-06-28|Masculino|1951-04-07|cachorro|quente|refrigerante|Ler livros"
4|"10142461|2020-06-28|Masculino|1957-01-27|tartaruga|moderado|Cerveja|Ler livros"
5|"10143348|2020-06-28|Masculino|1998-12-23|tartaruga|quente|refrigerante|Ler livros"
6|"10143391|2020-06-28|Feminino|1953-07-27|gato|frio|Cerveja|Praticar esporte"
0|"10141823|2020-08-15|Feminino|1993-08-22|peixe|frio|Água|Escutar música"
1|"10141953|2020-08-15|Feminino|1966-06-01|peixe|moderado|Chá|Ler livros"
2|"10141988|2020-08-15|Feminino|1998-07-06|tartaruga|moderado|Cerveja|Praticar esporte"
3|"10142221|2020-08-15|Masculino|1954-12-10|tartaruga|quente|Água|Escrever"
4|"10142830|2020-08-15|Masculino|1957-01-11|gato|frio|refrigerante|Escutar música"
5|"10143494|2020-08-15|Masculino|1996-06-29|tartaruga|frio|Café|Pintar quadros"
6|"10143607|2020-08-15|Feminino|1999-03-15|gato|frio|Água|Aprender algo novo"
0|"10141518|2020-01-13|Masculino|1959-06-12|tartaruga|frio|Água|Aprender algo novo"
1|"10142083|2020-01-13|Masculino|1959-02-22|gato|moderado|Água|Dormir"
2|"10142537|2020-01-13|Masculino|1994-08-20|cachorro|quente|Cerveja|Escrever"
3|"10142628|2020-01-13|Feminino|1954-04-20|gato|moderado|Vinho|Aprender algo novo"
4|"10142815|2020-01-13|Masculino|1962-03-21|cachorro|quente|Café|Dormir"
5|"10142923|2020-01-13|Masculino|1980-10-28|cachorro|quente|Chá|Assistir TV"
0|"10141956|2020-07-29|Feminino|1975-04-03|peixe|frio|Água|Pintar quadros"
1|"10142173|2020-07-29|Masculino|1980-07-27|gato|moderado|refrigerante|Pintar quadros"
2|"10142238|2020-07-29|Masculino|1977-04-11|peixe|moderado|refrigerante|Pintar quadros"
3|"10142551|2020-07-29|Masculino|1953-07-05|tartaruga|quente|Café|Ler livros"
4|"10142779|2020-07-29|Masculino|1967-01-19|cachorro|quente|Cerveja|Assistir TV"
